pack,variant,model,obs_name,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,amp_pred,proj_meas
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.019536212236944184,0.021569062315470403
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.01998767602478364,0.01895199949161904
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.019889900008307204,0.01889345906076822
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.01684854021557639,0.017358404292953256
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.018828836694218143,0.01841587434156392
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.024568775229363526,0.027081936563438255
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.023571184555095593,0.019922347880032366
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.021773699113542908,0.022273351318911262
boehme,2MRS_clean,O0_intercept,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.018369295140729967,0.016927059682106428
boehme,2MRS_clean,O0_intercept,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.018369295140729967,0.020257852654715535
boehme,2MRS_clean,O0_intercept,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.018369295140729967,0.0173722747415669
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.018369295140729967,0.02116956350832235
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.018369295140729967,0.018386784285208152
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.018369295140729967,0.014463141161852561
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.018369295140729967,0.01292386757398438
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.018369295140729967,0.02615362326147404
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.018369295140729967,0.022471558469635205
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.018369295140729967,0.019676837716533797
boehme,2MRS_clean,O0_intercept,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.018369295140729967,0.018031596273771034
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.018369295140729967,0.0174973298888222
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.018369295140729967,0.017961428998052753
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.018369295140729967,0.013934867011228634
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.018369295140729967,0.014012617541469612
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.018369295140729967,0.01293756490658207
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.018369295140729967,0.012737498302912525
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.018369295140729967,0.01919140594569619
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.018369295140729967,0.021895971775209005
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.018369295140729967,0.021307583778837375
boehme,2MRS_clean,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.018369295140729967,0.01868868743809755
