pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,0.03328027277260123,0.011636529700393538,0.014079007420855626
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,0.03328027277260123,0.010584311564791248,0.012897092505809594
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,0.03328027277260123,0.010357516244452605,0.01093375748929848
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,0.03291707161611928,0.017032289234946867,0.016405152488549662
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,0.03291707161611928,0.019764482676296664,0.017175381497072647
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,0.03291707161611928,0.019112496855597325,0.01706909588802645
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,0.03291707161611928,0.01650876573223764,0.017533924599072593
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,0.03291707161611928,0.01640463650411206,0.017427638990026396
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,0.03291707161611928,0.014937069668491171,0.014388674667515448
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,0.03291707161611928,0.015924580921703915,0.016352009684026562
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,0.05179932080859573,0.02332917570007104,0.02108305450024721
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,0.03776028513879305,0.01720123988738054,0.020606772225076377
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,0.02793662036191585,0.020153736481808272,0.019748594138841356
wagenveld,2MRS_clean,NVSS,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,-0.00026613993480082706,0.0
wagenveld,2MRS_clean,RACS_low,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.008936767110121542,0.0
wagenveld,2MRS_clean,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.03906009838169246,-0.004064042706050567,0.0
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,0.05181921011829311,0.013088825388718375,0.01652184300869027
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,0.037788479366085766,0.017520521010415437,0.016153132667711338
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,0.027893503000458914,0.015283518691495602,0.015481307609500899
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,0.03338237692235073,0.01876580799033035,0.0215374027864242
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,0.03332402739686681,0.015938921086092298,0.018732152878357645
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,0.03328027277260123,0.011956670944097095,0.015927773919059116
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,0.033250050621271635,0.010336588367542053,0.013124212221270387
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,0.03303492283183039,0.02381348803352527,0.02151605129410223
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,0.032966570487085095,0.0200556503515108,0.01871004916678863
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,0.03291707161611928,0.017184473898113603,0.01590521132585992
