pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,proj1_meas,proj2_meas,amp1_pred,amp2_pred
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,-0.016994627676418274,-0.004126156607943323,-0.017448589041666816,-0.0034706802648696933
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,-0.019553591467209967,-0.0011812764497195379,-0.01781532022983235,-0.0020986697546547155
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.01893962561152493,-0.0012854889107474163,-0.01776089357200715,-0.0017337530282411986
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,-0.016308038387371257,-0.0010111492635856726,-0.017985079159458815,-0.0013214353179438474
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.016282748053590573,-0.001607837578966544,-0.017930652501633615,-0.0009565185915303303
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,-0.014670665979921704,6.759664544525677e-05,-0.01455244705287441,-0.0003038770818254886
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,-0.015810400682112723,-0.0017486242191762404,-0.017421375712754216,-0.003288221901662935
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,-0.02281958122396669,0.0005866370387541476,-0.02090142740372006,-0.0025234678074965862
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,-0.016935691255030052,-0.0032340063313335892,-0.020580253349156412,-0.0013238730456010769
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,-0.02005994396733867,-0.001272569495675101,-0.0200015533851594,0.0008375887401682967
